"date","home_team","away_team","home_score","away_score","tournament"
1,"Barbados","Canada",1,4,"Friendly"
1,"Moldova","Sweden",0,1,"Friendly"
1,"Barbados","Canada",1,4,"Friendly"
1,"Kosovo","Sweden",0,1,"Friendly"
1,"Canada","Iceland",0,1,"Friendly"
1,"El Salvador","Iceland",0,1,"Friendly"
1,"Germany","Spain",1,1,"UEFA Nations League"
1,"Ukraine","Switzerland",2,1,"UEFA Nations League"
1,"Russia","Serbia",3,1,"UEFA Nations League"
1,"Turkey","Hungary",0,1,"UEFA Nations League"
1,"Bulgaria","Republic of Ireland",1,1,"UEFA Nations League"
1,"Finland","Wales",0,1,"UEFA Nations League"
1,"Moldova","Kosovo",1,1,"UEFA Nations League"
1,"Slovenia","Greece",0,0,"UEFA Nations League"
1,"Italy","Bosnia and Herzegovina",1,1,"UEFA Nations League"
1,"Netherlands","Poland",1,0,"UEFA Nations League"
1,"Norway","Austria",1,2,"UEFA Nations League"
1,"Romania","Northern Ireland",1,1,"UEFA Nations League"
1,"Scotland","Israel",1,1,"UEFA Nations League"
1,"Slovakia","Czech Republic",1,3,"UEFA Nations League"
1,"Lithuania","Kazakhstan",0,2,"UEFA Nations League"
1,"Belarus","Albania",0,2,"UEFA Nations League"
1,"Iceland","England",0,1,"UEFA Nations League"
1,"Denmark","Belgium",0,2,"UEFA Nations League"
1,"Portugal","Croatia",4,1,"UEFA Nations League"
1,"Sweden","France",0,1,"UEFA Nations League"
1,"Cyprus","Montenegro",0,2,"UEFA Nations League"
1,"Azerbaijan","Luxembourg",1,2,"UEFA Nations League"
1,"North Macedonia","Armenia",2,1,"UEFA Nations League"
1,"Estonia","Georgia",0,1,"UEFA Nations League"
1,"Spain","Ukraine",4,0,"UEFA Nations League"
1,"Switzerland","Germany",1,1,"UEFA Nations League"
1,"Hungary","Russia",2,3,"UEFA Nations League"
1,"Serbia","Turkey",0,0,"UEFA Nations League"
1,"Wales","Bulgaria",1,0,"UEFA Nations League"
1,"Republic of Ireland","Finland",0,1,"UEFA Nations League"
1,"Slovenia","Moldova",1,0,"UEFA Nations League"
1,"Kosovo","Greece",1,2,"UEFA Nations League"
1,"Bosnia and Herzegovina","Poland",1,2,"UEFA Nations League"
1,"Netherlands","Italy",0,1,"UEFA Nations League"
1,"Northern Ireland","Norway",1,5,"UEFA Nations League"
1,"Austria","Romania",2,3,"UEFA Nations League"
1,"Czech Republic","Scotland",1,2,"UEFA Nations League"
1,"Israel","Slovakia",1,1,"UEFA Nations League"
1,"Kazakhstan","Belarus",1,2,"UEFA Nations League"
1,"Albania","Lithuania",0,1,"UEFA Nations League"
1,"Belgium","Iceland",5,1,"UEFA Nations League"
1,"Denmark","England",0,0,"UEFA Nations League"
1,"France","Croatia",4,2,"UEFA Nations League"
1,"Sweden","Portugal",0,2,"UEFA Nations League"
1,"Luxembourg","Montenegro",0,1,"UEFA Nations League"
1,"Cyprus","Azerbaijan",0,1,"UEFA Nations League"
1,"Armenia","Estonia",2,0,"UEFA Nations League"
1,"Georgia","North Macedonia",1,1,"UEFA Nations League"
1,"Nicaragua","Guatemala",0,0,"Friendly"
1,"Austria","Greece",2,1,"Friendly"
1,"Cyprus","Czech Republic",1,2,"Friendly"
1,"Estonia","Lithuania",1,3,"Friendly"
1,"France","Ukraine",7,1,"Friendly"
1,"Germany","Turkey",3,3,"Friendly"
1,"Italy","Moldova",6,0,"Friendly"
1,"Netherlands","Mexico",0,1,"Friendly"
1,"Poland","Finland",5,1,"Friendly"
