"team_name","ranking"
"Argentina",1.858
"Bahrain",1.30753
"Equatorial Guinea",1.30803
"Israel",1.31139
"Oman",1.32323
"Guinea",1.32465
"Georgia",1.33376
"Bosnia and Herzegovina",1.3356
"Northern Ireland",1.34105
"Iceland",1.34682
"Jordan",1.35021
"El Salvador",1.30502
"Montenegro",1.35172
"Ghana",1.35877
"United Arab Emirates",1.36645
"Albania",1.3751
"Uzbekistan",1.38658
"Burkina Faso",1.39038
"Finland",1.39444
"Republic of Ireland",1.39974
"South Africa",1.40767
"North Macedonia",1.35419
"Honduras",1.30192
"Bulgaria",1.29259
"Gabon",1.28733
"Kenya",1.19124
"Namibia",1.19213
"Mauritania",1.1955
"New Zealand",1.19768
"Kazakhstan",1.20364
"Kosovo",1.20585
"Thailand",1.20893
"Tajikistan",1.21676
"Trinidad and Tobago",1.22065
"Benin",1.22568
"Belarus",1.22654
"Armenia",1.22918
"Angola",1.23576
"Palestine",1.23866
"Uganda",1.24215
"Syria",1.26652
"China PR",1.27522
"Luxembourg",1.27794
"Zambia",1.27826
"Bolivia",1.28388
"Iraq",1.42047
"Guatemala",1.18828
"Slovenia",1.42784
"Jamaica",1.43533
"Sweden",1.53168
"Hungary",1.5322
"Austria",1.55486
"Australia",1.56393
"Ukraine",1.56886
"Denmark",1.60272
"Switzerland",1.61641
"Japan",1.62188
"Poland",1.53149
"Senegal",1.62473
"Uruguay",1.65939
"Mexico",1.66111
"Morocco",1.66142
"Colombia",1.66428
"Croatia",1.72107
"Italy",1.7246
"Spain",1.7275
"Netherlands",1.74229
"Portugal",1.74811
"Germany",1.64421
"Wales",1.53138
"Nigeria",1.52027
"Ecuador",1.51822
"Venezuela",1.44229
"Saudi Arabia",1.44353
"Costa Rica",1.44538
"Cameroon",1.45259
"Greece",1.45789
"Canada",1.46116
"Slovakia",1.46155
"Norway",1.46751
"Romania",1.46817
"Panama",1.47562
"Mali",1.4779
"Algeria",1.48271
"Chile",1.49171
"Tunisia",1.49312
"Turkey",1.49594
"Scotland",1.49746
"Egypt",1.49972
"Czech Republic",1.50147
"Russia",1.50402
"Qatar",1.50794
"Serbia",1.5142
"Peru",1.51582
"Paraguay",1.43073
"England",1.7949
"Madagascar",1.18586
"Congo",1.1798
"Macau",0.89662
"Bhutan",0.9041
"Bangladesh",0.9053
"Mauritius",0.9194
"Belize",0.91952
"Samoa",0.92054
"Dominica",0.92225
"Cambodia",0.9254
"Nepal",0.93784
"Barbados",0.9438
"Cook Islands",0.89659
"Chad",0.94592
"Vanuatu",0.97214
"Bermuda",0.9743
"Fiji",0.98381
"South Sudan",0.98465
"Papua New Guinea",0.98532
"Montserrat",0.94608
"American Samoa",0.89097
"Laos",0.88962
"France",1.84059
"Belgium",1.79523
"Anguilla",0.79348
"British Virgin Islands",0.81331
"Guam",0.82191
"Sri Lanka",0.82941
"Tonga",0.83312
"Bahamas",0.83581
"Somalia",0.84264
"Seychelles",0.84553
"Cayman Islands",0.84781
"Pakistan",0.84994
"Aruba",0.87582
"Djibouti",0.87728
"Mongolia",0.88404
"Mozambique",1.18449
"Myanmar",0.99946
"Maldives",1.00348
"Solomon Islands",1.11102
"Rwanda",1.11244
"Niger",1.1255
"Central African Republic",1.12817
"Sudan",1.12932
"Sierra Leone",1.13736
"Malawi",1.14093
"Cyprus",1.14103
"Indonesia",1.1027
"Estonia",1.14113
"India",1.14594
"Lebanon",1.15896
"Tanzania",1.15981
"Comoros",1.16302
"Guinea-Bissau",1.16344
"Vietnam",1.16454
"Libya",1.16671
"Togo",1.17034
"Azerbaijan",1.17783
"Zimbabwe",1.14366
"Nicaragua",1.10254
"Lithuania",1.09523
"Puerto Rico",1.00635
"New Caledonia",1.00892
"Hong Kong",1.01283
"Yemen",1.01705
"Singapore",1.01906
"Guyana",1.02031
"Moldova",1.02885
"Liberia",1.02958
"Afghanistan",1.03692
"Dominican Republic",1.04286
"Lesotho",1.04758
"Eswatini",1.04889
"Botswana",1.06507
"Ethiopia",1.06848
"Suriname",1.07185
"Turkmenistan",1.07252
"Philippines",1.07514
"Burundi",1.08163
"Kuwait",1.08546
"Malaysia",1.09454
"Tahiti",0.99948
"Brazil",1.78865
