"home","away","home win","draw","away win","mlo"
"Croatia","Albania",0.624,0.243,0.132,"1-0 (0.17)"
"Germany","Hungary",0.482,0.274,0.244,"1-0 (0.137)"
"Scotland","Switzerland",0.187,0.239,0.574,"0-1 (0.133)"
"Slovenia","Serbia",0.248,0.292,0.46,"0-1 (0.158)"
"Denmark","England",0.157,0.26,0.583,"0-1 (0.169)"
"Spain","Italy",0.475,0.264,0.261,"1-0 (0.124)"
"Slovakia","Ukraine",0.314,0.304,0.382,"0-0 (0.14)"
"Poland","Austria",0.244,0.268,0.489,"0-1 (0.129)"
"Netherlands","France",0.269,0.264,0.467,"0-1 (0.123)"
"Georgia","Czech Republic",0.227,0.242,0.53,"0-1 (0.112)"
"Turkey","Portugal",0.118,0.183,0.699,"0-2 (0.11)"
"Belgium","Romania",0.649,0.221,0.13,"1-0 (0.147)"
