"home","away","home win","draw","away win","mlo"
"Germany","Scotland",0.559,0.249,0.192,"1-0 (0.137)"
"Hungary","Switzerland",0.334,0.322,0.344,"0-0 (0.171)"
"Spain","Croatia",0.457,0.289,0.254,"1-0 (0.154)"
"Italy","Albania",0.713,0.194,0.093,"2-0 (0.154)"
"Poland","Netherlands",0.155,0.216,0.629,"0-1 (0.115)"
"Slovenia","Denmark",0.19,0.263,0.547,"0-1 (0.153)"
"Serbia","England",0.111,0.214,0.674,"0-1 (0.155)"
"Romania","Ukraine",0.255,0.277,0.467,"0-1 (0.141)"
"Belgium","Slovakia",0.727,0.191,0.081,"2-0 (0.158)"
"Austria","France",0.166,0.237,0.596,"0-1 (0.142)"
"Turkey","Georgia",0.48,0.242,0.278,"1-1 (0.104)"
"Portugal","Czech Republic",0.694,0.194,0.112,"2-0 (0.128)"
